DAY,DAU
2022-01-01,1
2022-01-02,1
2022-01-07,1
2022-01-08,1
2022-01-12,1
2022-01-14,2
2022-01-15,2
2022-01-16,3
2022-01-17,3
2022-01-18,1
2022-01-21,2
2022-01-29,1
2022-01-31,1
2022-02-01,1
2022-02-09,1
2022-02-11,1
2022-02-23,1
2022-03-01,1
2022-03-06,1
2022-03-07,3
2022-03-08,3
2022-03-09,1
2022-03-14,1
2022-03-22,1
2022-03-23,2
2022-03-24,2
2022-03-25,1
2022-04-12,1
2022-04-13,1
2022-04-14,1
2022-04-17,2
2022-04-18,1
2022-04-19,1
2022-05-04,1
2022-05-21,1
2022-05-22,1
2022-05-23,1
2022-06-01,1
2022-06-02,1
2022-06-03,2
2022-06-04,2
2022-06-05,1
2022-06-06,1
2022-06-12,1
2022-06-13,1
2022-06-14,2
2022-06-15,1
2022-06-16,2
2022-06-17,2
2022-06-18,1
2022-06-21,1
2022-06-22,1
2022-06-26,2
2022-06-27,1
2022-06-28,1
2022-06-29,2
2022-06-30,1
2022-07-01,2
2022-07-02,2
2022-07-03,2
2022-07-04,2
2022-07-05,2
2022-07-06,2
2022-07-07,1
2022-07-08,1
2022-07-09,1
2022-07-10,1
2022-07-11,1
2022-07-12,1
2022-07-13,1
2022-07-14,1
2022-07-15,1
2022-07-19,2
2022-07-20,1
2022-07-21,1
2022-07-22,1
2022-07-23,2
2022-07-24,1
2022-07-25,1
2022-07-26,1
2022-07-27,1
2022-07-28,1
2022-07-29,1
2022-07-30,1
2022-07-31,1
2022-08-02,1
2022-08-03,3
2022-08-04,3
2022-08-05,3
2022-08-06,1
2022-08-07,1
2022-08-08,1
2022-08-09,2
2022-08-10,1
2022-08-11,2
2022-08-12,2
2022-08-13,1
2022-08-14,1
2022-08-15,1
2022-08-16,1
2022-08-17,1
2022-08-18,1
2022-08-19,1
2022-08-20,1
2022-08-21,1
2022-08-22,1
2022-08-26,1
2022-08-27,1
2022-08-28,1
2022-08-29,1
2022-08-30,1
2022-08-31,3
2022-09-01,3
2022-09-02,3
2022-09-03,3
2022-09-04,2
2022-09-05,1
2022-09-06,1
2022-09-07,1
2022-09-08,1
2022-09-09,1
2022-09-10,1
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,1
2022-09-15,2
2022-09-16,1
2022-09-17,1
2022-09-24,1
2022-09-25,3
2022-09-26,3
2022-09-27,4
2022-09-28,3
2022-09-29,3
2022-09-30,4
2022-10-01,3
2022-10-02,3
2022-10-03,2
2022-10-04,1
2022-10-05,2
2022-10-06,2
2022-10-07,2
2022-10-08,2
2022-10-09,2
2022-10-10,1
2022-10-11,2
2022-10-12,2
2022-10-13,2
2022-10-14,2
2022-10-19,2
2022-10-20,2
2022-10-21,2
2022-10-22,3
2022-10-23,1
2022-10-24,1
2022-10-25,2
2022-10-26,2
2022-10-27,2
2022-10-28,1
2022-10-29,1
2022-10-30,1
2022-10-31,1
2022-11-01,1
2022-11-02,1
2022-11-04,2
2022-11-05,2
2022-11-06,2
2022-11-07,2
2022-11-08,2
2022-11-09,3
2022-11-10,1
2022-11-15,2
2022-11-16,2
2022-11-17,2
2022-11-18,4
2022-11-19,3
2022-11-20,3
2022-11-21,2
2022-11-22,1
2022-11-23,1
2022-11-24,2
2022-11-25,2
2022-11-26,2
2022-11-27,3
2022-11-28,2
2022-11-29,2
2022-11-30,2
2022-12-01,2
2022-12-02,2
2022-12-03,2
2022-12-04,2
2022-12-05,1
2022-12-06,2
2022-12-07,2
2022-12-08,3
2022-12-09,3
2022-12-10,4
2022-12-11,4
2022-12-12,3
2022-12-13,4
2022-12-14,4
2022-12-15,3
2022-12-16,2
2022-12-17,2
2022-12-18,1
2022-12-19,2
2022-12-20,2
2022-12-21,1
2022-12-22,1
2022-12-23,2
2022-12-24,2
2022-12-25,1
2022-12-26,1
2022-12-27,2
2022-12-28,2
2022-12-29,3
2022-12-30,3
2022-12-31,3
